source,relation,target,kind
HK.agriculture.horticulture.olericulture,SUBFIELD_OF,HK.agriculture.horticulture,parent
HK.agriculture.horticulture.pomology,SUBFIELD_OF,HK.agriculture.horticulture,parent
HK.agriculture.horticulture.viticulture,SUBFIELD_OF,HK.agriculture.horticulture,parent
HK.agriculture.horticulture.viticulture,OVERLAPS_WITH,ind.agriculture.horticulture.viticulture,explicit
HK.agriculture.horticulture.viticulture,RELATED_TO,HK.agriculture.horticulture.enology,explicit
HK.agriculture.plant_breeding,SUBFIELD_OF,HK.agriculture,parent
HK.agriculture.plant_breeding,OVERLAPS_WITH,ind.agriculture.seed_industry.plant_breeding,explicit
HK.agriculture.plant_breeding,APPLICATION_OF,HK.biology,explicit
HK.agriculture.plant_breeding.conventional_breeding,SUBFIELD_OF,HK.agriculture.plant_breeding,parent
HK.agriculture.plant_breeding.hybrid_breeding,SUBFIELD_OF,HK.agriculture.plant_breeding,parent
HK.agriculture.plant_breeding.molecular_breeding,SUBFIELD_OF,HK.agriculture.plant_breeding,parent
HK.agriculture.plant_breeding.molecular_breeding,USES,HK.biology,explicit
HK.agriculture.plant_breeding.seed_technology,SUBFIELD_OF,HK.agriculture.plant_breeding,parent
HK.agriculture.plant_pathology,SUBFIELD_OF,HK.agriculture,parent
HK.agriculture.plant_pathology,OVERLAPS_WITH,HK.biology.botany.plant_pathology,explicit
HK.agriculture.plant_pathology,APPLICATION_OF,HK.biology,explicit
HK.agriculture.plant_pathology.mycology,SUBFIELD_OF,HK.agriculture.plant_pathology,parent
HK.agriculture.plant_pathology.mycology,OVERLAPS_WITH,HK.medicine.basic_medical_sciences.microbiology.mycology,explicit
HK.agriculture.plant_pathology.mycology,OVERLAPS_WITH,HK.biology.microbiology.mycology,explicit
HK.agriculture.plant_pathology.nematology,SUBFIELD_OF,HK.agriculture.plant_pathology,parent
HK.agriculture.plant_pathology.nematology,OVERLAPS_WITH,HK.biology.zoology.nematology,explicit
HK.agriculture.plant_pathology.plant_bacteriology,SUBFIELD_OF,HK.agriculture.plant_pathology,parent
HK.agriculture.plant_pathology.plant_disease_epidemiology,SUBFIELD_OF,HK.agriculture.plant_pathology,parent
HK.agriculture.plant_pathology.plant_virology,SUBFIELD_OF,HK.agriculture.plant_pathology,parent
HK.agriculture.sericulture,SUBFIELD_OF,HK.agriculture,parent
HK.agriculture.sericulture,OVERLAPS_WITH,ind.agriculture.sericulture,explicit
HK.agriculture.sericulture,OVERLAPS_WITH,HK.engineering.textile_engineering,explicit
HK.agriculture.sericulture.silk_reeling,SUBFIELD_OF,HK.agriculture.sericulture,parent
HK.agriculture.sericulture.silkworm_rearing,SUBFIELD_OF,HK.agriculture.sericulture,parent
HK.agriculture.soil_science,SUBFIELD_OF,HK.agriculture,parent
HK.agriculture.soil_science,OVERLAPS_WITH,HK.earth_science.soil_science,explicit
HK.agriculture.soil_science,RELATED_TO,HK.earth_science,explicit
HK.agriculture.soil_science.pedology,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.pedology,OVERLAPS_WITH,HK.earth_science.soil_science.pedology,explicit
HK.agriculture.soil_science.soil_biology,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.soil_biology,OVERLAPS_WITH,HK.earth_science.soil_science.soil_biology,explicit
HK.agriculture.soil_science.soil_chemistry,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.soil_chemistry,OVERLAPS_WITH,HK.earth_science.soil_science.soil_chemistry,explicit
HK.agriculture.soil_science.soil_chemistry,APPLICATION_OF,HK.chemistry,explicit
HK.agriculture.soil_science.soil_conservation,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.soil_fertility,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.soil_physics,SUBFIELD_OF,HK.agriculture.soil_science,parent
HK.agriculture.soil_science.soil_physics,OVERLAPS_WITH,HK.earth_science.soil_science.soil_physics,explicit
HK.agriculture.weed_science,SUBFIELD_OF,HK.agriculture,parent
HK.agriculture.weed_science.herbicide_resistance,SUBFIELD_OF,HK.agriculture.weed_science,parent
HK.agriculture.weed_science.weed_ecology,SUBFIELD_OF,HK.agriculture.weed_science,parent
HK.anthropology,SUBFIELD_OF,HUMAN_KNOWLEDGE,parent
HK.anthropology.anthropology_of_development,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.anthropology_of_religion,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.anthropology_of_religion.animism,SUBFIELD_OF,HK.anthropology.anthropology_of_religion,parent
HK.anthropology.anthropology_of_religion.magic,SUBFIELD_OF,HK.anthropology.anthropology_of_religion,parent
HK.anthropology.anthropology_of_religion.ritual,SUBFIELD_OF,HK.anthropology.anthropology_of_religion,parent
HK.anthropology.anthropology_of_religion.shamanism,SUBFIELD_OF,HK.anthropology.anthropology_of_religion,parent
HK.anthropology.applied_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.applied_anthropology.business_anthropology,SUBFIELD_OF,HK.anthropology.applied_anthropology,parent
HK.anthropology.applied_anthropology.development_anthropology,SUBFIELD_OF,HK.anthropology.applied_anthropology,parent
HK.anthropology.archaeological_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.archaeological_anthropology,OVERLAPS_WITH,HK.archaeology,explicit
HK.anthropology.archaeological_anthropology.archaeobotany,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.ceramic_analysis,METHOD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.ethnoarchaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.experimental_archaeology,METHOD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.geoarchaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.historical_archaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.landscape_archaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.lithic_analysis,METHOD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.maritime_archaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology,RELATED_TO,HK.archaeology,explicit
HK.anthropology.archaeological_anthropology.prehistoric_archaeology.bronze_age,SUBFIELD_OF,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology.iron_age,SUBFIELD_OF,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology.mesolithic,SUBFIELD_OF,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology.neolithic,SUBFIELD_OF,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,parent
HK.anthropology.archaeological_anthropology.prehistoric_archaeology.paleolithic,SUBFIELD_OF,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,parent
HK.anthropology.archaeological_anthropology.zooarchaeology,SUBFIELD_OF,HK.anthropology.archaeological_anthropology,parent
HK.anthropology.biological_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.biological_anthropology,RELATED_TO,HK.biology,explicit
HK.anthropology.biological_anthropology.bioarchaeology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.forensic_anthropology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.human_population_genetics,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.nutritional_anthropology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.paleoanthropology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.paleoanthropology,OVERLAPS_WITH,HK.biology,explicit
HK.anthropology.biological_anthropology.paleopathology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.biological_anthropology.primatology,SUBFIELD_OF,HK.anthropology.biological_anthropology,parent
HK.anthropology.cognitive_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.cognitive_anthropology,OVERLAPS_WITH,HK.cognitive_science,explicit
HK.anthropology.cognitive_anthropology.cultural_models,SUBFIELD_OF,HK.anthropology.cognitive_anthropology,parent
HK.anthropology.cognitive_anthropology.ethnoscience,SUBFIELD_OF,HK.anthropology.cognitive_anthropology,parent
HK.anthropology.digital_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.ecological_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.ecological_anthropology.ethnoecology,SUBFIELD_OF,HK.anthropology.ecological_anthropology,parent
HK.anthropology.ecological_anthropology.traditional_ecological_knowledge,SUBFIELD_OF,HK.anthropology.ecological_anthropology,parent
HK.anthropology.economic_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.economic_anthropology,OVERLAPS_WITH,HK.economics,explicit
HK.anthropology.economic_anthropology.gift_exchange,SUBFIELD_OF,HK.anthropology.economic_anthropology,parent
HK.anthropology.economic_anthropology.reciprocity,SUBFIELD_OF,HK.anthropology.economic_anthropology,parent
HK.anthropology.economic_anthropology.redistribution,SUBFIELD_OF,HK.anthropology.economic_anthropology,parent
HK.anthropology.economic_anthropology.substantivism,SUBFIELD_OF,HK.anthropology.economic_anthropology,parent
HK.anthropology.feminist_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.legal_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.legal_anthropology,APPLIES_TO,HK.law,explicit
HK.anthropology.legal_anthropology.customary_law,SUBFIELD_OF,HK.anthropology.legal_anthropology,parent
HK.anthropology.legal_anthropology.customary_law,OVERLAPS_WITH,HK.law.comparative_law,explicit
HK.anthropology.legal_anthropology.dispute_resolution,SUBFIELD_OF,HK.anthropology.legal_anthropology,parent
HK.anthropology.linguistic_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.linguistic_anthropology,OVERLAPS_WITH,HK.linguistics,explicit
HK.anthropology.linguistic_anthropology.ethnolinguistics,SUBFIELD_OF,HK.anthropology.linguistic_anthropology,parent
HK.anthropology.linguistic_anthropology.language_ideology,SUBFIELD_OF,HK.anthropology.linguistic_anthropology,parent
HK.anthropology.linguistic_anthropology.language_revitalization,SUBFIELD_OF,HK.anthropology.linguistic_anthropology,parent
HK.anthropology.medical_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.medical_anthropology,OVERLAPS_WITH,HK.medicine,explicit
HK.anthropology.medical_anthropology.biocultural_anthropology,SUBFIELD_OF,HK.anthropology.medical_anthropology,parent
HK.anthropology.medical_anthropology.critical_medical_anthropology,SUBFIELD_OF,HK.anthropology.medical_anthropology,parent
HK.anthropology.medical_anthropology.ethnomedicine,SUBFIELD_OF,HK.anthropology.medical_anthropology,parent
HK.anthropology.political_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.political_anthropology,OVERLAPS_WITH,HK.political_science,explicit
HK.anthropology.political_anthropology.segmentary_lineage,SUBFIELD_OF,HK.anthropology.political_anthropology,parent
HK.anthropology.psychological_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.psychological_anthropology,OVERLAPS_WITH,HK.psychology,explicit
HK.anthropology.sociocultural_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.sociocultural_anthropology.cultural_materialism,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.ethnography,METHOD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.interpretive_anthropology,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.kinship_and_descent,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.kinship_and_descent.bilateral_kinship,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.kinship_and_descent,parent
HK.anthropology.sociocultural_anthropology.kinship_and_descent.unilineal_descent,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.kinship_and_descent,parent
HK.anthropology.sociocultural_anthropology.marriage_and_alliance,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.political_organization,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.political_organization,OVERLAPS_WITH,ORG.political_organization,explicit
HK.anthropology.sociocultural_anthropology.political_organization.band_society,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.political_organization,parent
HK.anthropology.sociocultural_anthropology.political_organization.chiefdom,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.political_organization,parent
HK.anthropology.sociocultural_anthropology.political_organization.early_state,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.political_organization,parent
HK.anthropology.sociocultural_anthropology.political_organization.tribe,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology.political_organization,parent
HK.anthropology.sociocultural_anthropology.postcolonial_anthropology,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.rites_of_passage,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.structuralism_anthropology,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.sociocultural_anthropology.symbolic_anthropology,SUBFIELD_OF,HK.anthropology.sociocultural_anthropology,parent
HK.anthropology.urban_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.visual_anthropology,SUBFIELD_OF,HK.anthropology,parent
HK.anthropology.visual_anthropology.ethnographic_film,SUBTYPE_OF,HK.anthropology.visual_anthropology,parent
HK.archaeology,SUBFIELD_OF,HUMAN_KNOWLEDGE,parent
HK.archaeology.archaeobotany,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.archaeobotany,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.archaeobotany,explicit
HK.archaeology.archaeobotany,OVERLAPS_WITH,HK.biology,explicit
HK.archaeology.archaeological_method,METHOD_OF,HK.archaeology,parent
HK.archaeology.archaeological_method.archaeological_dating,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.archaeological_dating.dendrochronology,METHOD_OF,HK.archaeology.archaeological_method.archaeological_dating,parent
HK.archaeology.archaeological_method.archaeological_dating.radiocarbon_dating,METHOD_OF,HK.archaeology.archaeological_method.archaeological_dating,parent
HK.archaeology.archaeological_method.archaeological_dating.radiocarbon_dating,APPLICATION_OF,HK.chemistry,explicit
HK.archaeology.archaeological_method.archaeological_survey,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.artifact_analysis,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.excavation,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.excavation,METHOD_FOR,HK.archaeology.archaeological_method,explicit
HK.archaeology.archaeological_method.remote_sensing_archaeology,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.stratigraphy,METHOD_OF,HK.archaeology.archaeological_method,parent
HK.archaeology.archaeological_method.stratigraphy,OVERLAPS_WITH,HK.earth_science.stratigraphy,explicit
HK.archaeology.archaeological_theory,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.archaeological_theory.culture_history,SUBFIELD_OF,HK.archaeology.archaeological_theory,parent
HK.archaeology.archaeological_theory.post_processual_archaeology,SUBFIELD_OF,HK.archaeology.archaeological_theory,parent
HK.archaeology.archaeological_theory.processual_archaeology,SUBFIELD_OF,HK.archaeology.archaeological_theory,parent
HK.archaeology.archaeology_of_china,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.archaeology_of_china,OVERLAPS_WITH,HK.history.ancient_history.ancient_china,explicit
HK.archaeology.archaeology_of_south_asia,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.archaeology_of_south_asia,OVERLAPS_WITH,HK.history.ancient_history.ancient_india,explicit
HK.archaeology.archaeology_of_the_americas,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.archaeology_of_the_americas,OVERLAPS_WITH,HK.history.history_of_the_americas.indigenous_history_of_the_americas,explicit
HK.archaeology.archaeology_of_the_americas.andean_archaeology,SUBFIELD_OF,HK.archaeology.archaeology_of_the_americas,parent
HK.archaeology.archaeology_of_the_americas.mesoamerican_archaeology,SUBFIELD_OF,HK.archaeology.archaeology_of_the_americas,parent
HK.archaeology.archaeology_of_the_americas.mesoamerican_archaeology,OVERLAPS_WITH,HK.art_history.precolumbian_art_history,explicit
HK.archaeology.archaeology_of_the_americas.north_american_archaeology,SUBFIELD_OF,HK.archaeology.archaeology_of_the_americas,parent
HK.archaeology.bioarchaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.bioarchaeology,OVERLAPS_WITH,HK.anthropology.biological_anthropology.bioarchaeology,explicit
HK.archaeology.bioarchaeology,OVERLAPS_WITH,HK.biology,explicit
HK.archaeology.bioarchaeology.osteoarchaeology,SUBFIELD_OF,HK.archaeology.bioarchaeology,parent
HK.archaeology.bioarchaeology.paleopathology,SUBFIELD_OF,HK.archaeology.bioarchaeology,parent
HK.archaeology.bioarchaeology.paleopathology,OVERLAPS_WITH,HK.anthropology.biological_anthropology.paleopathology,explicit
HK.archaeology.classical_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.classical_archaeology,OVERLAPS_WITH,HK.classics,explicit
HK.archaeology.classical_archaeology.greek_archaeology,SUBFIELD_OF,HK.archaeology.classical_archaeology,parent
HK.archaeology.classical_archaeology.roman_archaeology,SUBFIELD_OF,HK.archaeology.classical_archaeology,parent
HK.archaeology.computational_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.computational_archaeology,APPLICATION_OF,HK.computer_science,explicit
HK.archaeology.egyptology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.egyptology,OVERLAPS_WITH,HK.history.ancient_history.ancient_egypt,explicit
HK.archaeology.environmental_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.environmental_archaeology,OVERLAPS_WITH,HK.environmental_science,explicit
HK.archaeology.ethnoarchaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.ethnoarchaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.ethnoarchaeology,explicit
HK.archaeology.experimental_archaeology,METHOD_OF,HK.archaeology,parent
HK.archaeology.experimental_archaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.experimental_archaeology,explicit
HK.archaeology.geoarchaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.geoarchaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.geoarchaeology,explicit
HK.archaeology.geoarchaeology,OVERLAPS_WITH,HK.earth_science,explicit
HK.archaeology.historical_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.historical_archaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.historical_archaeology,explicit
HK.archaeology.industrial_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.landscape_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.landscape_archaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.landscape_archaeology,explicit
HK.archaeology.near_eastern_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.near_eastern_archaeology,OVERLAPS_WITH,HK.history.ancient_history.ancient_near_east,explicit
HK.archaeology.prehistoric_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.prehistoric_archaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.prehistoric_archaeology,explicit
HK.archaeology.prehistoric_archaeology,OVERLAPS_WITH,HK.history.prehistory,explicit
HK.archaeology.prehistoric_archaeology.bronze_age_archaeology,SUBFIELD_OF,HK.archaeology.prehistoric_archaeology,parent
HK.archaeology.prehistoric_archaeology.neolithic_archaeology,SUBFIELD_OF,HK.archaeology.prehistoric_archaeology,parent
HK.archaeology.prehistoric_archaeology.paleolithic_archaeology,SUBFIELD_OF,HK.archaeology.prehistoric_archaeology,parent
HK.archaeology.public_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.public_archaeology.community_archaeology,SUBFIELD_OF,HK.archaeology.public_archaeology,parent
HK.archaeology.underwater_archaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.zooarchaeology,SUBFIELD_OF,HK.archaeology,parent
HK.archaeology.zooarchaeology,OVERLAPS_WITH,HK.anthropology.archaeological_anthropology.zooarchaeology,explicit
HK.archaeology.zooarchaeology,OVERLAPS_WITH,HK.biology,explicit
HK.architecture,SUBFIELD_OF,HUMAN_KNOWLEDGE,parent
HK.architecture.architectural_design,SUBFIELD_OF,HK.architecture,parent
HK.architecture.architectural_design.adaptive_reuse,SUBFIELD_OF,HK.architecture.architectural_design,parent
HK.architecture.architectural_design.adaptive_reuse,OVERLAPS_WITH,HK.architecture.historic_preservation,explicit
HK.architecture.architectural_design.commercial_architecture,SUBFIELD_OF,HK.architecture.architectural_design,parent
HK.architecture.architectural_design.housing_design,SUBFIELD_OF,HK.architecture.architectural_design,parent
HK.architecture.architectural_design.residential_architecture,SUBFIELD_OF,HK.architecture.architectural_design,parent
HK.architecture.architectural_design.sacred_architecture,SUBFIELD_OF,HK.architecture.architectural_design,parent
HK.architecture.architectural_history,SUBFIELD_OF,HK.architecture,parent
HK.architecture.architectural_history,OVERLAPS_WITH,HK.art_history,explicit
HK.architecture.architectural_history.chinese_traditional_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.chinese_traditional_architecture.dougong_construction,SUBFIELD_OF,HK.architecture.architectural_history.chinese_traditional_architecture,parent
HK.architecture.architectural_history.chinese_traditional_architecture.dougong_construction,APPLICATION_OF,HK.engineering.civil_engineering.structural_engineering,explicit
HK.architecture.architectural_history.islamic_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.islamic_architecture,OVERLAPS_WITH,HK.art_history.islamic_art_history.islamic_architecture,explicit
HK.architecture.architectural_history.islamic_architecture.mosque_architecture,SUBFIELD_OF,HK.architecture.architectural_history.islamic_architecture,parent
HK.architecture.architectural_history.japanese_traditional_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.japanese_traditional_architecture.minka,SUBFIELD_OF,HK.architecture.architectural_history.japanese_traditional_architecture,parent
HK.architecture.architectural_history.mesoamerican_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.south_asian_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.south_asian_architecture.dravidian_temple_architecture,SUBFIELD_OF,HK.architecture.architectural_history.south_asian_architecture,parent
HK.architecture.architectural_history.vernacular_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.vernacular_architecture,RELATED_TO,HK.anthropology,explicit
HK.architecture.architectural_history.vernacular_architecture.earth_architecture,SUBFIELD_OF,HK.architecture.architectural_history.vernacular_architecture,parent
HK.architecture.architectural_history.western_architecture,SUBFIELD_OF,HK.architecture.architectural_history,parent
HK.architecture.architectural_history.western_architecture.baroque_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.classical_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.classical_architecture,PRECURSOR_OF,HK.architecture.architectural_history.western_architecture.renaissance_architecture,explicit
HK.architecture.architectural_history.western_architecture.classical_architecture.greek_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.classical_architecture,parent
HK.architecture.architectural_history.western_architecture.classical_architecture.roman_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.classical_architecture,parent
HK.architecture.architectural_history.western_architecture.gothic_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture,PRECURSOR_OF,HK.architecture.architectural_history.western_architecture.postmodern_architecture,explicit
HK.architecture.architectural_history.western_architecture.modern_architecture.brutalism,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.modern_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture.deconstructivism,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.modern_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture.high_tech_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.modern_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture.modernism,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.modern_architecture,parent
HK.architecture.architectural_history.western_architecture.modern_architecture.modernism.international_style,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture.modern_architecture.modernism,parent
HK.architecture.architectural_history.western_architecture.postmodern_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.renaissance_architecture,SUBFIELD_OF,HK.architecture.architectural_history.western_architecture,parent
HK.architecture.architectural_history.western_architecture.renaissance_architecture,PRECURSOR_OF,HK.architecture.architectural_history.western_architecture.baroque_architecture,explicit
HK.architecture.architectural_theory,SUBFIELD_OF,HK.architecture,parent
HK.architecture.architectural_theory.architectural_criticism,SUBFIELD_OF,HK.architecture.architectural_theory,parent
HK.architecture.architectural_theory.design_theory,SUBFIELD_OF,HK.architecture.architectural_theory,parent
HK.architecture.architectural_theory.design_theory,OVERLAPS_WITH,HK.mathematics.combinatorics.design_theory,explicit
HK.architecture.architectural_theory.tectonics,SUBFIELD_OF,HK.architecture.architectural_theory,parent
HK.architecture.architectural_theory.tectonics,OVERLAPS_WITH,HK.earth_science.structural_geology.tectonics,explicit
HK.architecture.building_science,SUBFIELD_OF,HK.architecture,parent
HK.architecture.building_science,APPLICATION_OF,HK.physics,explicit
HK.architecture.building_science.building_acoustics,SUBFIELD_OF,HK.architecture.building_science,parent
HK.architecture.building_science.building_acoustics,OVERLAPS_WITH,HK.engineering.acoustical_engineering.architectural_acoustics,explicit
HK.architecture.building_science.building_physics,SUBFIELD_OF,HK.architecture.building_science,parent
HK.architecture.building_science.thermal_performance_of_buildings,SUBFIELD_OF,HK.architecture.building_science,parent
HK.architecture.building_services,SUBFIELD_OF,HK.architecture,parent
HK.architecture.building_services,OVERLAPS_WITH,HK.engineering.mechanical_engineering.hvac,explicit
HK.architecture.building_services.electrical_services,SUBFIELD_OF,HK.architecture.building_services,parent
HK.architecture.building_services.fire_protection_in_buildings,SUBFIELD_OF,HK.architecture.building_services,parent
HK.architecture.building_services.mechanical_services,SUBFIELD_OF,HK.architecture.building_services,parent
HK.architecture.building_services.plumbing_systems,SUBFIELD_OF,HK.architecture.building_services,parent
HK.architecture.building_technology,SUBFIELD_OF,HK.architecture,parent
HK.architecture.building_technology,OVERLAPS_WITH,HK.engineering.civil_engineering,explicit
HK.architecture.building_technology.building_envelope_design,SUBFIELD_OF,HK.architecture.building_technology,parent
HK.architecture.building_technology.building_materials_technology,SUBFIELD_OF,HK.architecture.building_technology,parent
